id,tone_label,intent_label
1,,request
2,,request
3,,request
4,,request
5,,clarification_question
6,,clarification_question
7,,request
8,,clarification_question
9,,request
10,,clarification_question
11,negative_rude,
12,negative_rude,
13,negative_rude,
14,negative_rude,
15,negative_rude,
16,negative_rude,
17,positive_friendly,
18,negative_rude,
19,negative_rude,
20,positive_friendly,
21,positive_friendly,
22,positive_friendly,
23,positive_friendly,
24,negative_rude,
25,positive_friendly,
26,positive_friendly,
27,positive_friendly,
28,negative_rude,
29,negative_rude,
30,negative_rude,
31,negative_rude,
32,positive_friendly,
33,positive_friendly,
34,positive_friendly,
35,negative_rude,
36,negative_rude,
37,positive_friendly,
38,negative_rude,
39,negative_rude,
40,positive_friendly,
41,positive_friendly,
42,negative_rude,
43,negative_rude,
44,negative_rude,
45,negative_rude,
46,negative_rude,
47,negative_rude,
48,positive_friendly,
49,negative_rude,
50,positive_friendly,
51,positive_friendly,
52,positive_friendly,
53,positive_friendly,
54,positive_friendly,
55,positive_friendly,
56,negative_rude,
57,positive_friendly,
58,negative_rude,
59,positive_friendly,
60,negative_rude,
61,positive_friendly,
62,positive_friendly,
63,negative_rude,
64,positive_friendly,
65,positive_friendly,
66,negative_rude,
67,positive_friendly,
68,positive_friendly,
69,negative_rude,
70,positive_friendly,
71,negative_rude,
72,positive_friendly,
73,positive_friendly,
74,positive_friendly,
75,positive_friendly,
76,positive_friendly,
77,negative_rude,
78,negative_rude,
79,positive_friendly,
80,negative_rude,
81,negative_rude,
82,negative_rude,
83,positive_friendly,
84,positive_friendly,
85,positive_friendly,
86,negative_rude,
87,positive_friendly,
88,positive_friendly,
89,positive_friendly,
90,negative_rude,
91,positive_friendly,
92,negative_rude,
93,positive_friendly,
94,positive_friendly,
95,negative_rude,
96,negative_rude,
97,negative_rude,
98,positive_friendly,
99,negative_rude,
100,positive_friendly,
101,positive_friendly,
102,positive_friendly,
103,positive_friendly,
104,positive_friendly,
105,positive_friendly,
106,positive_friendly,
107,positive_friendly,
108,negative_rude,
109,negative_rude,
110,negative_rude,
111,positive_friendly,
112,negative_rude,
113,positive_friendly,
114,positive_friendly,
115,positive_friendly,
116,negative_rude,
117,negative_rude,
118,negative_rude,
119,negative_rude,
120,negative_rude,
121,positive_friendly,
122,negative_rude,
123,negative_rude,
124,negative_rude,
125,negative_rude,
126,negative_rude,
127,positive_friendly,
128,negative_rude,
129,negative_rude,
130,negative_rude,
131,positive_friendly,
132,negative_rude,
133,positive_friendly,
134,positive_friendly,
135,negative_rude,
136,negative_rude,
137,positive_friendly,
138,negative_rude,
139,negative_rude,
140,negative_rude,
141,positive_friendly,
142,positive_friendly,
143,negative_rude,
144,positive_friendly,
145,positive_friendly,
146,negative_rude,
147,negative_rude,
148,negative_rude,
149,positive_friendly,
150,negative_rude,
151,positive_friendly,
152,negative_rude,
153,negative_rude,
154,negative_rude,
155,positive_friendly,
156,negative_rude,
157,negative_rude,
158,negative_rude,
159,positive_friendly,
160,positive_friendly,
161,positive_friendly,
162,positive_friendly,
163,negative_rude,
164,positive_friendly,
165,positive_friendly,
166,positive_friendly,
167,negative_rude,
168,negative_rude,
169,negative_rude,
170,negative_rude,
171,negative_rude,
172,negative_rude,
173,positive_friendly,
174,positive_friendly,
175,positive_friendly,
176,positive_friendly,
177,negative_rude,
178,negative_rude,
179,positive_friendly,
180,positive_friendly,
181,positive_friendly,
182,negative_rude,
183,positive_friendly,
184,negative_rude,
185,negative_rude,
186,negative_rude,
187,negative_rude,
188,positive_friendly,
189,positive_friendly,
190,negative_rude,
191,negative_rude,
192,negative_rude,
193,negative_rude,
194,negative_rude,
195,negative_rude,
196,negative_rude,
197,negative_rude,
198,positive_friendly,
199,negative_rude,
200,positive_friendly,
201,negative_rude,
202,negative_rude,
203,negative_rude,
204,negative_rude,
205,positive_friendly,
206,positive_friendly,
207,negative_rude,
208,positive_friendly,
209,positive_friendly,
210,positive_friendly,
211,negative_rude,
212,negative_rude,
213,negative_rude,
214,positive_friendly,
215,positive_friendly,
216,positive_friendly,
217,negative_rude,
218,positive_friendly,
219,positive_friendly,
220,positive_friendly,
221,positive_friendly,
222,negative_rude,
223,negative_rude,
224,positive_friendly,
225,negative_rude,
226,positive_friendly,
227,negative_rude,
228,positive_friendly,
229,positive_friendly,
230,negative_rude,
231,negative_rude,
232,positive_friendly,
233,negative_rude,
234,positive_friendly,
235,negative_rude,
236,negative_rude,
237,positive_friendly,
238,positive_friendly,
239,positive_friendly,
240,negative_rude,
241,negative_rude,
242,negative_rude,
243,negative_rude,
244,positive_friendly,
245,negative_rude,
246,negative_rude,
247,positive_friendly,
248,negative_rude,
249,positive_friendly,
250,positive_friendly,
251,negative_rude,
252,positive_friendly,
253,positive_friendly,
254,positive_friendly,
255,negative_rude,
256,negative_rude,
257,negative_rude,
258,positive_friendly,
259,positive_friendly,
260,negative_rude,
261,negative_rude,
262,negative_rude,
263,positive_friendly,
264,positive_friendly,
265,positive_friendly,
266,positive_friendly,
267,negative_rude,
268,positive_friendly,
269,negative_rude,
270,positive_friendly,
271,negative_rude,
272,negative_rude,
273,negative_rude,
274,negative_rude,
275,positive_friendly,
276,negative_rude,
277,negative_rude,
278,positive_friendly,
279,positive_friendly,
280,positive_friendly,
281,negative_rude,
282,negative_rude,
283,positive_friendly,
284,positive_friendly,
285,positive_friendly,
286,positive_friendly,
287,negative_rude,
288,positive_friendly,
289,negative_rude,
290,negative_rude,
291,positive_friendly,
292,positive_friendly,
293,positive_friendly,
294,negative_rude,
295,positive_friendly,
296,positive_friendly,
297,positive_friendly,
298,positive_friendly,
299,negative_rude,
300,positive_friendly,
301,positive_friendly,
302,negative_rude,
303,positive_friendly,
304,positive_friendly,
305,negative_rude,
306,positive_friendly,
307,negative_rude,
308,negative_rude,
309,positive_friendly,
310,negative_rude,
311,positive_friendly,
312,negative_rude,
313,positive_friendly,
314,negative_rude,
315,positive_friendly,
316,negative_rude,
317,negative_rude,
318,positive_friendly,
319,positive_friendly,
320,positive_friendly,
321,positive_friendly,
322,positive_friendly,
323,positive_friendly,
324,negative_rude,
325,positive_friendly,
326,positive_friendly,
327,positive_friendly,
328,positive_friendly,
329,negative_rude,
330,positive_friendly,
331,negative_rude,
332,negative_rude,
333,positive_friendly,
334,positive_friendly,
335,positive_friendly,
336,positive_friendly,
337,negative_rude,
338,positive_friendly,
339,negative_rude,
340,negative_rude,
341,positive_friendly,
342,negative_rude,
343,positive_friendly,
344,negative_rude,
345,negative_rude,
346,negative_rude,
347,positive_friendly,
348,positive_friendly,
349,positive_friendly,
350,negative_rude,
351,positive_friendly,
352,positive_friendly,
353,negative_rude,
354,positive_friendly,
355,positive_friendly,
356,negative_rude,
357,negative_rude,
358,positive_friendly,
359,negative_rude,
360,negative_rude,
361,positive_friendly,
362,positive_friendly,
363,positive_friendly,
364,negative_rude,
365,negative_rude,
366,negative_rude,
367,negative_rude,
